country,cases
United_States_of_America,1039909.0
Spain,215183.0
Italy,203591.0
United_Kingdom,167150.0
Germany,159119.0
France,128442.0
Turkey,117589.0
Russia,99399.0
Iran,93657.0
China,83917.0
