country,cases
United_States_of_America,1770384.0
Brazil,498440.0
Russia,396575.0
United_Kingdom,254390.0
Spain,239429.0
Italy,232664.0
India,182143.0
Germany,181482.0
Turkey,163103.0
Peru,155671.0
