country,cases
United_States_of_America,13383321.0
India,9431691.0
Brazil,6314740.0
Russia,2269316.0
France,2218483.0
Spain,1648187.0
United_Kingdom,1617327.0
Italy,1585178.0
Argentina,1418794.0
Colombia,1308376.0
