country,cases
United_States_of_America,5997163.0
Brazil,3862311.0
India,3621245.0
Russia,990326.0
Peru,647166.0
Mexico,641442.0
South_Africa,625056.0
Colombia,607938.0
Spain,462858.0
Chile,409974.0
