country,cases
United_States_of_America,9047427.0
India,8137119.0
Brazil,5516658.0
Russia,1599976.0
France,1331984.0
Spain,1185678.0
Argentina,1157166.0
Colombia,1063151.0
United_Kingdom,989745.0
Mexico,918811.0
