country,cases
United_States_of_America,4495014.0
Brazil,2610102.0
India,1638870.0
Russia,834499.0
South_Africa,482169.0
Mexico,475395.0
Peru,407492.0
Chile,353536.0
United_Kingdom,302301.0
Iran,301530.0
