country,cases
United_States_of_America,164620.0
Spain,104267.0
Italy,101739.0
China,82214.0
Germany,61913.0
France,44550.0
Iran,41495.0
United_Kingdom,29681.0
Switzerland,15412.0
Belgium,15304.0
