country,cases
United_States_of_America,2590552.0
Brazil,1368195.0
Russia,641156.0
India,566840.0
United_Kingdom,283541.0
Peru,282365.0
Chile,275999.0
Mexico,265510.0
Spain,249271.0
Italy,240436.0
